broken?
gosh i thought my name was bad
We would work well together
Yes
Yes
"Kilo, sending you 3"
"Hotel, sending you 4"
"Quebec, sending you 6"
"Quebec, sending you 5"
"Hotel, sending you 4"
"Hotel, sending you 4"
"Quebec, sending you 5"
We should add X-ray
Yes
Yes
We should add Echo
Yes
No
"Quebec, sending you 5"
We should replace Echo with X-ray
No
No
"Hotel, sending you 6"
"Quebec, sending you 3"
"Hotel, sending you 6"
"Quebec, sending you 3"
"Hotel, sending you 7"
"Quebec, sending you 2"
"Hotel, sending you 7"
"Quebec, sending you 2"
We should group up
No
No
Yes
"Hotel, sending you 2"
"Kilo, sending you 4"
"Hotel, sending you 2"
"Kilo, sending you 4"
We would work well together
No
Yes
Yes
"Echo, sending you 2"
"Hotel, sending you 4"
"X-ray, sending you 3"
"Echo, sending you 3"
"Hotel, sending you 3"
"Hotel, sending you 2"
"Quebec, sending you 5"
"Hotel, sending you 3"
"Quebec, sending you 6"
"Echo, sending you 2"
"Echo, sending you 2"
"Hotel, sending you 4"
"X-ray, sending you 2"
We should group up
We should add Kilo
Yes
Yes
No
No
Yes
Yes
"X-ray, sending you 3"
"Hotel, sending you 1"
"Quebec, sending you 5"
"Hotel, sending you 4"
"Quebec, sending you 6"
"X-ray, sending you 6"
"X-ray, sending you 3"
"X-ray, sending you 2"
"Hotel, sending you 1"
"Echo and X-ray, sending you 2"
"Quebec, sending you 5"
We should drop Kilo
No
No
We should drop Kilo
Yes
Yes
No
No
"Hotel, sending you 1"
"Quebec, sending you 5"
"X-ray, sending you 6"
"Hotel, sending you 3"
"Echo and X-ray, sending you 2"
"Hotel, sending you 3"
"Echo and X-ray, sending you 2"
"X-ray, sending you 6"
"Echo and X-ray, sending you 2"
"Hotel, sending you 3"
"Echo and X-ray, sending you 2"
"Hotel, sending you 3"
"Echo, Hotel and X-ray, sending you 3"
"Echo and X-ray, sending you 2"
Quebec we want you to join our group
Yes
X-ray did not give me 4 like they said
"Echo, sending you 3"
"Echo, Hotel and X-ray, sending you 3"
